Qty, Description                                              , Link
  1, ZimaBoard 832 Single Board Server                        , https://geni.us/uwBCZ
  2, Noctua NF-A4x10 FLX 3-Pin 12V (40x10mm)                  , https://geni.us/Fkr3L
  2, Noctua NF-R8 redux-1800 3-Pin 12V (80mm)                 , https://geni.us/5GhNKWv
  1, Momentary Black Push Button 12V LED Ring Head (16mm hole), https://geni.us/luLH
  1, SATA PCIE Expansion Card (4 Ports)                       , https://geni.us/9vRfBY
  1, 90 Degree PCI Extension Cable (15cm)                     , https://geni.us/D940HF5
  2, Molex IDE Male to 3 x 15 Pin SATA Power Supply           , https://geni.us/eeVQD
  1, Power Socket Inlet Module                                , https://geni.us/WkVR7
  6, SATA 22 Pin (7+15) Male to 22 pin Female Extender        , https://geni.us/wC48Yf
  1, Multiple Output 5V(10A) 12V(12A) Power Supply            , N/A 